scn,pol,ind,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
dxdt,tnd,u5m,63,61.48461009,59.75220253,57.87937192,56.16342134,54.47850022,52.83666909,51.39940781,50.03322169,48.74801985,47.5399574,46.40526988,45.34093072,44.34124489,43.40564445,42.52901156,41.70690461,40.93574175,40.21879589,39.55953269
dxdt,tnd,mtm,229,217.1924548,206.1378106,195.8218534,186.2207023,177.3036215,169.0353649,161.378069,154.2927334,147.7403433,141.6826927,136.0829616,130.9061005,126.1190632,121.6909265,117.5929249,113.7984256,110.2828606,107.0236321,104
dxdt,tnd,water,82.2,82.24490464,82.51155996,82.97090322,83.38508867,83.86330522,84.40091556,84.82311802,85.25875428,85.69198339,86.12127641,86.54495329,86.9602461,87.36846488,87.7632172,88.14528356,88.5150552,88.87198897,89.20208544,89.48889354
dxdt,tnd,sanit,59.8,60.23130538,60.66878925,61.11243474,61.56221721,62.01810383,62.48005315,62.94801468,63.42192849,63.90172475,64.38732336,64.87863353,65.37555336,65.87796946,66.38575659,66.89877726,67.41688144,67.93990624,68.46767559,69
base,pa,emp-tot,454.9853969,466.7495969,494.3550973,508.5748089,522.3760887,534.9911434,546.9817324,560.4428494,574.7100396,589.9827571,605.5673536,620.7313651,635.5737623,647.7360123,658.7566521,668.750681,678.2991592,687.1163344,695.4177555,703.2169827
dx,pa,emp-tot,454.9853969,464.9905856,491.6147825,507.5142687,523.5147528,537.8174907,551.802751,566.079018,580.3218532,594.3901941,608.3049156,621.0321292,630.3014978,639.0329443,647.2438561,654.9717548,662.3903665,669.4062139,676.0075182,682.123642
dxdt,pa,emp-tot,454.9853969,464.8042314,491.2148405,507.125432,523.2737144,537.4382091,551.3387744,565.4618703,579.6455265,593.7936315,607.8286611,620.8515226,630.4707281,639.2182176,647.448121,655.1968695,662.636726,669.6733077,676.2930636,682.4257518
base,tnd,emp-tot,454.9853969,467.2169611,495.3192751,509.1645023,522.9039639,535.6494078,547.1862145,559.910944,572.1871038,584.6758136,598.0053732,611.6774388,625.7189942,640.4917125,655.0828744,669.6899737,684.0753445,696.1619893,708.0750302,719.7147348
dx,tnd,emp-tot,454.9853969,465.3934729,492.4591791,508.0113978,523.97923,538.3594605,552.0314461,566.4250592,580.2603029,593.8107198,607.4764696,620.5016504,631.5371462,640.7712504,649.6243984,658.1231552,666.2746054,674.0134846,681.327436,688.1669393
dxdt,tnd,emp-tot,454.9853969,465.1771385,491.9956621,507.5848334,523.7052313,537.9373527,551.5352658,565.7324423,579.4873175,593.0963652,606.8690984,620.0673625,631.6994576,640.9418536,649.8031207,658.3085093,666.4645348,674.2050748,681.5193203,688.3596565
base,pa,emp-spc,35.26489475,38.0166563,41.45104627,43.5174978,45.50658447,47.60844187,49.66014192,52.11816942,54.82161909,57.87029445,61.01949274,64.23745032,67.67654577,71.58663825,75.34543461,78.6573828,81.82881425,84.77071826,87.76671132,90.84434645
dx,pa,emp-spc,35.26489475,37.42916574,40.52945383,43.06477901,45.70380106,48.33427903,51.06425235,53.94924706,56.96110335,60.10991846,63.38295899,66.67288241,69.61783263,72.45825407,75.2914562,78.12850788,80.96380631,83.81062614,86.72278726,89.73210086
dxdt,pa,emp-spc,35.26489475,37.39051816,40.44850605,42.99335962,45.65471728,48.27352528,51.01671773,53.86643689,56.8560641,60.00161337,63.26889764,66.55133484,69.52466673,72.34457332,75.15635073,77.97105269,80.78306093,83.60539095,86.49125744,89.47227681
base,tnd,emp-spc,35.26489475,38.13823793,41.69673029,43.67558708,45.6522864,47.7919335,49.73433047,52.03810061,54.2429618,56.51112837,58.8389792,61.18108259,63.5511013,66.0712071,68.50817662,70.97681147,73.48744266,76.07665792,78.73979188,81.4891106
dx,tnd,emp-spc,35.26489475,37.52967977,40.74118849,43.19123429,45.82033042,48.46662922,51.12710701,54.10998634,57.13221558,60.27792415,63.51378034,66.69584932,69.42714854,72.14189898,74.80445394,77.42002234,79.98993699,82.52572419,85.07228754,87.6560895
dxdt,tnd,emp-spc,35.26489475,37.48358547,40.64580907,43.1118245,45.76511386,48.39770327,51.07318773,54.01635995,57.02049192,60.17070955,63.41053733,66.61857128,69.33094308,72.02591174,74.66857106,77.26437682,79.81482976,82.33148807,84.85893245,87.42353288
base,pa,emp-int,332.1270539,332.2881764,345.3923093,349.6875908,353.4442687,355.3684171,356.5348926,357.3271631,357.7531515,357.8527033,358.0267908,357.9056673,357.4760345,356.6362299,355.2082146,353.157756,350.6183342,347.4737483,343.7045249,339.3571784
dx,pa,emp-int,332.1270539,332.2881764,345.5115634,349.9948893,353.859973,355.8668921,356.9833271,357.3797278,357.0701018,356.1363624,355.0344311,353.4742134,351.484928,349.0322915,346.0010724,342.3758565,338.2254716,333.4939856,328.1564532,322.1778238
dxdt,pa,emp-int,332.1270539,332.2881764,345.5145557,350.0025178,353.8727519,355.8799673,357.0014606,357.410727,357.1144871,356.1953685,355.1092868,353.5662605,351.5960229,349.1645322,346.156719,342.5567799,338.43272,333.7283592,328.418234,322.4673983
base,tnd,emp-int,332.1270539,332.2881772,345.3761999,349.6480396,353.3928126,355.3020216,356.450734,357.2417945,357.7412372,358.0534787,358.655894,359.2160293,359.7446052,360.2084858,360.5162851,360.6455313,360.580115,360.2608908,359.6303247,358.6422639
dx,tnd,emp-int,332.1270539,332.2881772,345.5018174,349.9710512,353.8299511,355.8324843,356.9433208,357.3404841,357.0561812,356.1986906,355.2487153,353.9098728,352.209055,350.1314125,347.595939,344.5942226,341.1210652,337.1313768,332.6015977,327.5126291
dxdt,tnd,emp-int,332.1270539,332.2881772,345.5050983,349.9794087,353.8436782,355.8467245,356.962843,357.3728275,357.1019556,356.2587102,355.3233919,353.9994837,352.3139605,350.2526821,347.7334082,344.7470922,341.2881865,337.3112995,332.7941821,327.7184408
base,pa,emp-base,87.59344825,96.44476411,107.5117417,115.3697203,123.4252356,132.0142844,140.7866979,150.9975169,162.135269,174.2597594,186.52107,198.5882474,210.4211821,219.5131442,228.2030029,236.9355422,245.8520108,254.8718678,263.9465193,273.0154579
dx,pa,emp-base,87.59344825,95.27324339,105.5737653,114.4546004,123.9509788,133.6163195,143.7551715,154.7500431,166.2906481,178.1439133,189.8875255,200.8850334,209.1987372,217.5423988,225.9513275,234.4673904,243.2010885,252.1016021,261.1282778,270.2137174
dxdt,pa,emp-base,87.59344825,95.12553683,105.2517788,114.1295546,123.7462453,133.2847165,143.320596,154.1847064,165.6749753,177.5966497,189.4504766,200.7339272,209.3500384,217.7091121,226.1350513,234.6690369,243.420945,252.3395575,261.3835722,270.4860766
base,tnd,emp-base,87.59344825,96.79054594,108.2463449,115.8408756,123.8588648,132.5554528,141.0011501,150.6310489,160.2029047,170.1112066,180.5105,191.2803269,202.4232877,214.2120196,226.0584126,238.0676309,250.0077869,259.8244407,269.7049136,279.5833603
dx,tnd,emp-base,87.59344825,95.57561588,106.2161733,114.8491123,124.3289485,134.060347,143.9610183,154.9745888,166.071906,177.3341051,188.7139739,199.8959282,209.9009427,218.4979389,227.2240055,236.1089102,245.1636033,254.3563837,263.6535508,272.9982207
dxdt,tnd,emp-base,87.59344825,95.40537587,105.8447548,114.4936002,124.0964393,133.6929249,143.4992351,154.3432549,165.3648701,176.6669455,188.1351691,199.4493076,210.0545539,218.6632597,227.4011415,236.2970403,245.3615185,254.5622872,263.8662058,273.2176828
base,pa,wag-tot,9.322723895,10.05204685,10.17295638,10.18039749,10.18035808,10.29005408,10.42163203,10.68477934,11.02990515,11.49468108,11.98181513,12.520615,13.19885858,14.29225739,15.46872206,16.3541281,17.42164765,18.62199497,20.03092307,21.46038121
dx,pa,wag-tot,9.322723895,9.885888569,9.923133731,10.06493086,10.22073466,10.42435275,10.67404411,11.02525238,11.4593554,12.00736314,12.61740938,13.32250833,14.2375317,15.46039441,16.75492772,17.95184051,19.30103257,20.75298377,22.38799015,24.10151987
dxdt,pa,wag-tot,9.322723895,9.848487941,9.854211943,9.995691451,10.18399061,10.36157186,10.58435574,10.91812239,11.33857817,11.87826395,12.47567474,13.16110701,14.05174184,15.25751092,16.5278708,17.69537217,19.01573867,20.4385872,22.04003282,23.71544916
base,tnd,wag-tot,9.322723895,10.12850251,10.31447532,10.25983039,10.24375288,10.36131052,10.44887415,10.63648044,10.78582531,10.94633832,11.11066151,11.28708278,11.47450321,11.70672511,11.92062688,12.15110348,12.40397475,12.73038174,13.0780585,13.44789378
dx,tnd,wag-tot,9.322723895,9.951157207,10.03888567,10.13106709,10.27867888,10.48884177,10.70228633,11.03397702,11.36163966,11.73419014,12.14752336,12.64012101,13.2828208,14.13053834,15.04745251,16.0995211,17.26934492,18.59153394,20.24323508,22.4180517
dxdt,tnd,wag-tot,9.322723895,9.907857096,9.95754416,10.05433875,10.23595229,10.41837547,10.60716222,10.91337137,11.22422406,11.58741603,11.99111762,12.47016825,13.08670094,13.91801541,14.81704346,15.85554763,17.02832012,18.31799729,19.89716358,21.97995651
base,pa,une-tot,4.826534943,3.611507863,3.820319899,4.178162723,4.58333867,4.818883455,5.005836005,4.929310731,4.668260858,4.173004415,3.635766425,3.071229261,2.492465637,2.281360936,2.159346149,2.10345107,2.069151877,2.069151877,2.069151877,2.069151877
dx,pa,une-tot,4.826534943,3.943366613,4.331408427,4.429461667,4.487557079,4.463754742,4.320534217,4.030528731,3.619105875,3.095455206,2.560454794,2.088874632,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
dxdt,pa,une-tot,4.826534943,3.977971633,4.401536871,4.497540126,4.531880328,4.528578801,4.399116326,4.137265642,3.73918141,3.207172491,2.656777898,2.141485793,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
base,tnd,une-tot,4.826534943,3.522476064,3.644106342,4.068880079,4.487315965,4.703138913,4.960689386,4.997448145,5.054155034,5.024492967,4.917226786,4.715236611,4.440979214,4.074754781,3.737501421,3.39997157,3.09301687,3.100196224,3.100149358,3.093752387
dx,tnd,une-tot,4.826534943,3.868181472,4.182826751,4.341158554,4.406374834,4.37142578,4.278551379,3.970761162,3.632442966,3.21361259,2.760896243,2.29949859,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
dxdt,tnd,une-tot,4.826534943,3.908545402,4.264754199,4.416254921,4.456675272,4.443854041,4.36286384,4.089899508,3.767684125,3.343132745,2.876620339,2.390515654,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
base,pa,une-spc,9.023336758,6.092928414,6.200090266,6.931141611,7.760050417,8.225254081,8.764236491,8.654818417,8.301395363,7.626836015,7.000721563,6.316714424,5.413870176,3.989279057,2.857734188,2.360766061,2.069151877,2.069151877,2.069151877,2.069151877
base,pa,une-int,3.081652616,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
base,pa,une-base,9.752963356,7.947371506,8.528605597,9.532186007,10.61179474,10.99242569,11.11712117,10.41182346,9.17477642,7.346399511,5.542050383,3.827404338,2.272021841,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
dx,pa,une-spc,9.023336758,7.544121752,8.30666946,7.948342794,7.412799902,6.86071494,6.177076592,5.363176269,4.544487571,3.765894044,3.001792612,2.25286172,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
dx,pa,une-int,3.081652616,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
dx,pa,une-base,9.752963356,9.065540677,10.20901104,10.32312189,10.31310271,9.974343114,9.251856009,8.095542107,6.630288253,4.920967536,3.331733236,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
dxdt,pa,une-spc,9.023336758,7.63958729,8.488105486,8.095643977,7.501480542,6.962272126,6.241913928,5.474394521,4.671604835,3.8723796,3.089541874,2.32261022,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
dxdt,pa,une-int,3.081652616,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
dxdt,pa,une-base,9.752963356,9.206520617,10.4876798,10.58927886,10.47885863,10.21398548,9.546926532,8.464151826,7.018963483,5.264892456,3.613708496,2.208842417,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
base,tnd,une-spc,9.023336758,5.792602959,5.644067265,6.593911191,7.467546272,7.876323688,8.634822241,8.804907237,9.282807149,9.809824482,10.32877966,10.75607789,11.11809598,11.25818767,11.46022416,11.5762685,11.60004277,11.50402853,11.3404943,11.11846017
base,tnd,une-int,3.081652617,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
base,tnd,une-base,9.752963356,7.617336793,7.898845452,9.152740385,10.28833378,10.61921604,10.97454196,10.62694406,10.28804333,9.655261802,8.812117143,7.752301904,6.55987556,5.231632454,4.057761685,2.978354779,2.069151877,2.069151877,2.069151877,2.069151877
dx,tnd,une-spc,9.023336758,7.295836535,7.828620972,7.680960038,7.18157652,6.612488589,6.070618381,5.09224761,4.263227086,3.479708924,2.733933261,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
dx,tnd,une-int,3.081652617,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
dx,tnd,une-base,9.752963356,8.776938415,9.659813,10.00847634,10.03514299,9.672076554,9.120189774,7.963921401,6.776530758,5.421962035,4.072160127,2.784176525,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
dxdt,tnd,une-spc,9.023336758,7.409696659,8.04251908,7.844745169,7.281633362,6.728220335,6.145029027,5.219629822,4.398018787,3.580231206,2.800431002,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
dxdt,tnd,une-int,3.081652617,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
dxdt,tnd,une-base,9.752963356,8.939425628,9.981064724,10.2998088,10.22255812,9.937577103,9.434313073,8.373445138,7.218279127,5.831432957,4.42733327,3.068238772,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877,2.069151877
base,pa,wag-spc,32.06320792,33.17257628,32.88192156,32.54753752,32.19454699,31.98074724,31.76938852,31.76839912,31.85757491,32.0838828,32.32348226,32.62553107,33.09448452,34.1019393,35.22519602,35.88833673,36.94466155,38.29689711,39.94330827,41.50223701
base,pa,wag-int,6.681791927,7.312683653,7.41837667,7.412196988,7.408409891,7.513965651,7.654884818,7.929422088,8.2988297,8.799578152,9.325987653,9.895060659,10.58222914,11.5475726,12.56251632,13.29048957,14.13669594,15.0493355,16.08632572,17.07598292
base,pa,wag-base,10.18105497,10.37651012,10.2669022,10.13396761,10.0016155,9.940652831,9.898211163,9.927974336,10.01374298,10.1917222,10.42498928,10.74917197,11.24522957,12.29121777,13.46939707,14.43562313,15.60843985,16.94880048,18.54627154,20.24135771
dx,pa,wag-spc,32.06320792,32.51132266,31.99231369,32.12430403,32.32665667,32.53706477,32.85779435,33.28014572,33.79206195,34.39203271,35.14649736,36.13978675,37.66325959,39.61306445,41.51996582,43.79749643,46.16907571,48.5110049,50.92562718,53.45519209
