sim,ind,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
REF_AZ100,bosque,31.8917,32.0573,32.1177,32.2221,32.3715,32.5673,32.8103,33.1026,33.4451,33.8409,34.2655,32.6739,32.3496,32.0609,31.2853,30.5128,29.7436,28.9774,28.2144,27.4543,26.6972,25.9431,25.1919,24.4435,23.6977,22.9547,22.2142
REF_AZ100,granos_pacifico,0.7357,0.7577,0.7869,0.8238,0.869,0.9231,0.9868,1.0608,1.1458,1.2427,1.3117,1.2492,1.1779,1.0973,1.0069,1.1423,1.0306,0.9243,1.0204,1.2012,1.2179,1.5908,1.9957,1.9837,2.4596,2.7386,2.7284
REF_AZ100,granos_otros,6.2642,6.3119,6.353,6.3872,6.4137,6.4321,6.4416,6.4415,6.4311,6.4096,6.4168,6.5562,6.7052,6.8642,7.0338,6.9784,7.1709,7.3588,7.3452,7.2476,7.315,7.027,6.7078,6.8064,6.418,6.2273,6.3267
REF_AZ100,pastos_pacifico,3.3872,3.2373,3.0642,2.8663,2.6439,2.3902,2.1024,1.7821,1.4257,1.0282,0.6602,1.9367,1.8399,1.7479,1.6605,1.5775,1.4986,1.4237,1.3525,1.2849,1.2207,0.7706,0.3123,0,0,0,0
REF_AZ100,pastos_otros,19.293,19.1326,18.9482,18.7409,18.5119,18.2622,17.9931,17.7052,17.3996,17.0773,16.6921,16.6742,16.7574,16.797,17.3148,17.8202,18.3136,18.7951,19.2647,19.7226,20.169,20.993,21.8171,22.4869,22.8362,23.1772,23.5099
REF_AZ100,oleag_riego,0.1498,0.1506,0.1495,0.1463,0.1409,0.1329,0.1224,0.1088,0.0922,0.0724,0.0501,0.0293,0.0064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REF_AZ100,oleag_secano,0.2338,0.2408,0.2501,0.2617,0.2759,0.293,0.3131,0.3366,0.3636,0.3942,0.4276,0.4597,0.4942,0.5111,0.5212,0.5316,0.5422,0.553,0.564,0.5752,0.5867,0.5983,0.6102,0.6224,0.6348,0.6474,0.6603
REF_AZ100,otros_suelos,0.764,0.7792,0.7948,0.8107,0.8269,0.8435,0.8603,0.8775,0.8951,0.913,0.9313,0.9499,0.9689,0.9883,1.008,1.0282,1.0487,1.0697,1.0911,1.1129,1.1352,1.1579,1.1811,1.2047,1.2288,1.2533,1.2784
REF_AZ100,permanentes,0.5727,0.5812,0.5899,0.5987,0.6076,0.6167,0.6259,0.6353,0.6447,0.6544,0.6641,0.674,0.6841,0.6943,0.7047,0.7152,0.7259,0.7367,0.7477,0.7589,0.7702,0.7817,0.7933,0.8052,0.8172,0.8294,0.8418
REF_AZ100,canha_riego,0.46,0.4772,0.4941,0.5101,0.5224,0.5357,0.5503,0.5622,0.5722,0.5816,0.5906,0.5973,0.6033,0.6085,0.6129,0.6165,0.6215,0.6257,0.6291,0.6317,0.6335,0.6343,0.6342,0.6331,0.6309,0.6274,0.6228
REF_AZ100,canha_secano_pacifico,0.0246,0.0253,0.0262,0.0272,0.0285,0.0301,0.0319,0.0338,0.0361,0.0387,0.0415,0.0448,0.0484,0.0524,0.0567,0.0615,0.0661,0.0711,0.0765,0.0823,0.0884,0.095,0.1022,0.1099,0.1182,0.1271,0.1366
