demand,sw,gw,climate,indicator,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
HIGH,20%,100%,0,Total_Demand_Household,9784.728944,11381.87495,13109.17919,14975.71338,16991.13864,19132.21157,21435.3478,23911.29167,26571.45626,29427.96347,32425.25861,35631.75691,39060.51973,42725.37898,46640.98096,48565.24026,50572.51138,52666.45077,54850.87743,57129.7802,59370.18141,61702.48827,64130.54422,66658.35476,69290.09419,71857.41061,74524.31172,77294.72891,80172.74977,83162.62436,86268.77159,89495.78603,92848.44488,96331.7152,99950.76154
HIGH,20%,20%,0,Total_Demand_Household,9784.728944,11381.87495,13109.17919,14975.71338,16991.13864,19132.21157,21435.3478,23911.29167,26571.45626,29427.96347,32425.25861,35631.75691,39060.51973,42725.37898,46640.98096,48565.24026,50572.51138,52666.45077,54850.87743,57129.7802,59370.18141,61702.48827,64130.54422,66658.35476,69290.09419,71857.41061,74524.31172,77294.72891,80172.74977,83162.62436,86268.77159,89495.78603,92848.44488,96331.7152,99950.76154
HIGH,20%,60%,0,Total_Demand_Household,9784.728944,11381.87495,13109.17919,14975.71338,16991.13864,19132.21157,21435.3478,23911.29167,26571.45626,29427.96347,32425.25861,35631.75691,39060.51973,42725.37898,46640.98096,48565.24026,50572.51138,52666.45077,54850.87743,57129.7802,59370.18141,61702.48827,64130.54422,66658.35476,69290.09419,71857.41061,74524.31172,77294.72891,80172.74977,83162.62436,86268.77159,89495.78603,92848.44488,96331.7152,99950.76154
HIGH,60%,20%,0,Total_Demand_Household,9784.728944,11381.87495,13109.17919,14975.71338,16991.13864,19132.21157,21435.3478,23911.29167,26571.45626,29427.96347,32425.25861,35631.75691,39060.51973,42725.37898,46640.98096,48565.24026,50572.51138,52666.45077,54850.87743,57129.7802,59370.18141,61702.48827,64130.54422,66658.35476,69290.09419,71857.41061,74524.31172,77294.72891,80172.74977,83162.62436,86268.77159,89495.78603,92848.44488,96331.7152,99950.76154
HIGH,60%,100%,0,Total_Demand_Household,9784.728944,11381.87495,13109.17919,14975.71338,16991.13864,19132.21157,21435.3478,23911.29167,26571.45626,29427.96347,32425.25861,35631.75691,39060.51973,42725.37898,46640.98096,48565.24026,50572.51138,52666.45077,54850.87743,57129.7802,59370.18141,61702.48827,64130.54422,66658.35476,69290.09419,71857.41061,74524.31172,77294.72891,80172.74977,83162.62436,86268.77159,89495.78603,92848.44488,96331.7152,99950.76154
HIGH,60%,60%,0,Total_Demand_Household,9784.728944,11381.87495,13109.17919,14975.71338,16991.13864,19132.21157,21435.3478,23911.29167,26571.45626,29427.96347,32425.25861,35631.75691,39060.51973,42725.37898,46640.98096,48565.24026,50572.51138,52666.45077,54850.87743,57129.7802,59370.18141,61702.48827,64130.54422,66658.35476,69290.09419,71857.41061,74524.31172,77294.72891,80172.74977,83162.62436,86268.77159,89495.78603,92848.44488,96331.7152,99950.76154
REF,100%,100%,0,Total_Demand_Irrigation,2652.718416,3929.197312,4172.024468,3984.842386,5175.581187,4190.328049,6132.759931,5508.372803,4267.497107,9288.91992,7505.149541,6193.707826,9481.682735,10822.86168,5436.197565,10020.42844,9221.614709,12694.03154,12385.57244,10516.7104,12621.56599,14786.79669,10253.7005,12438.30133,12082.72947,16425.37142,18742.42152,18660.46082,15271.32684,19945.90595,19100.68947,14875.88423,21569.26744,18726.02689,18220.38924
REF,100%,20%,0,Total_Demand_Irrigation,2652.718416,3929.197312,4172.024468,3984.842386,5175.581187,4190.328049,6132.759931,5508.372803,4267.497107,9288.91992,7505.149541,6193.707826,9481.682735,10822.86168,5436.197565,10020.42844,9221.614709,12694.03154,12385.57244,10516.7104,12621.56599,14786.79669,10253.7005,12438.30133,12082.72947,16425.37142,18742.42152,18660.46082,15271.32684,19945.90595,19100.68947,14875.88423,21569.26744,18726.02689,18220.38924
REF,100%,60%,0,Total_Demand_Irrigation,2652.718416,3929.197312,4172.024468,3984.842386,5175.581187,4190.328049,6132.759931,5508.372803,4267.497107,9288.91992,7505.149541,6193.707826,9481.682735,10822.86168,5436.197565,10020.42844,9221.614709,12694.03154,12385.57244,10516.7104,12621.56599,14786.79669,10253.7005,12438.30133,12082.72947,16425.37142,18742.42152,18660.46082,15271.32684,19945.90595,19100.68947,14875.88423,21569.26744,18726.02689,18220.38924
REF,20%,100%,0,Total_Demand_Irrigation,2652.718416,3929.197312,4172.024468,3984.842386,5175.581187,4190.328049,6132.759931,5508.372803,4267.497107,9288.91992,7505.149541,6193.707826,9481.682735,10822.86168,5436.197565,10020.42844,9221.614709,12694.03154,12385.57244,10516.7104,12621.56599,14786.79669,10253.7005,12438.30133,12082.72947,16425.37142,18742.42152,18660.46082,15271.32684,19945.90595,19100.68947,14875.88423,21569.26744,18726.02689,18220.38924
